state,state_code,bill,title,type,status,effective_date,sponsor,key_provision,source_url,last_verified_date,confidence_level
Illinois,IL,SB 4016 / HB 5513,POWER Act (Protecting Our Workers and Energy Resources),Ratepayer protection + environmental standards,Introduced Feb 2026,,"Sen. Ram Villivalam (S); Rep. Robyn Gabel (H)","Clean energy procurement mandates; utilities cannot pass data center costs to ratepayers; 3-mile buffer from overburdened communities; utility assistance fund contributions",https://www.nprillinois.org/illinois/2026-02-11/power-act-lawmakers-seek-to-regulate-new-data-centers-power-water-usage,2026-03-02,High
Illinois,IL,SB 2181,Data Center Energy and Water Reporting Act,Reporting mandate,Introduced 2025,,TBD,"All data centers must annually report energy and water consumption to Illinois Power Agency starting Jan 1 2026",https://www.ilga.gov/documents/legislation/104/SB/10400SB2181.htm,2026-03-02,High
Illinois,IL,Governor's Budget Proposal,2-Year Moratorium on Data Center Tax Incentives,Tax incentive moratorium,Proposed Feb 2026,2026-07-01,Gov. JB Pritzker,"2-year pause on new state tax credits for data centers; reassessment of economic and environmental impacts",https://www.nbcnews.com/politics/politics-news/gov-jb-pritzker-suspending-tax-incentives-data-centers-illinois-rcna259297,2026-03-02,High
Oregon,OR,HB 3546,POWER Act (Protecting Oregonians With Energy Responsibility),Ratepayer protection + cost allocation,Signed 2025,,TBD,"Separate rate class for >20MW data centers and crypto miners; mandatory 10-year contracts; full infrastructure cost responsibility; does not apply retroactively",https://www.opb.org/article/2025/06/05/oregon-data-centers-cryptocurrency-business-environment-power-electricity/,2026-03-02,High
Colorado,CO,SB25-280,Data Center Development & Grid Modernization Act,Tax incentive + regulatory accommodation,Introduced 2025,,TBD,"20-year 100% sales/use tax exemption; $250M minimum investment; 25 FTE jobs; 50% clean energy sourcing; workforce programs; annual compliance reporting",https://leg.colorado.gov/bills/sb25-280,2026-03-02,High
Colorado,CO,SB 26-102,Data Center Clean Energy Mandate,Environmental regulation,Introduced 2026,,TBD,"100% new renewable energy by 2031; water stewardship rules; impact reviews in disadvantaged communities; community benefits requirements",https://coloradosun.com/2026/01/23/colorado-data-center-bills-incentives-regulations/,2026-03-02,High
Massachusetts,MA,H.5151,Data Center Energy and Ratepayer Protection,Renewable mandate + ratepayer protection,Passed House 2026,,TBD,"80% renewable energy required for new/expanded data centers; EDCs must develop data center tariffs protecting non-data center ratepayers; incentivize heat recapture",https://www.energychoicematters.com/stories/20260226ga.html,2026-03-02,High
Washington,WA,HB 2515 / SB 6171,Data Center Regulation and Ratepayer Protection,Ratepayer protection + clean energy mandate,Passed House 51-41 (2026),,TBD,"Utilities must develop data center tariffs by 2027; annual water/energy/emissions reporting; 80% renewables by 2030 / 100% by 2045; curtailment during grid strain; annual energy fee",https://app.leg.wa.gov/billsummary?BillNumber=2515&Year=2025,2026-03-02,High
New Mexico,NM,HB 93 (amended),Microgrid Authorization for Data Centers,Regulatory exemption,Signed 2025,,TBD,"Allows on-site microgrid power generation for data centers; enables self-generation and sale of electricity",https://sourcenm.com/2026/01/14/nm-lawmaker-proposes-more-oversight-regulations-for-data-center-microgrids/,2026-03-02,High
New Mexico,NM,2026 PRC Oversight Bill (draft),Data Center Microgrid Oversight,Environmental regulation,Draft for 2026 session,,Sen. Jeff Steinborn,"PRC oversight of data center microgrids; phased renewable targets (40% by 2028 / 50% by 2030 / 100% by 2040); annual energy/water reporting",https://sourcenm.com/2026/01/14/nm-lawmaker-proposes-more-oversight-regulations-for-data-center-microgrids/,2026-03-02,Medium
