state,state_code,bill,title,type,status,effective_date,sponsor,key_provision,source_url,last_verified_date,confidence_level
Arkansas,AR,Act 373 (SB 307),Generating Arkansas Jobs Act of 2025,Regulatory accommodation,Signed into law,2025-03-20 (emergency clause),"Sen. Jonathan Dismang (R-Searcy)","Creates strategic investment rider; iterative resubmission mechanism for PSC denials; auto-approval if PSC misses deadlines; rate cap at 10% below national average; wind excluded",https://www.arkleg.state.ar.us/; https://billtrack50.com/billdetail/1845892,2026-03-01,High
Arkansas,AR,Act 548 (HB 1444),Sales and Use Tax Data Center Exemption Amendment,Tax incentive expansion,Signed into law,2025-10-01,"Rep. Aaron Pilkington (R-Knoxville)","Reduces data center investment threshold from $500M to $100M; creates Qualified Large Data Center ($2B across 2+ nonadjacent sites); fiber infrastructure tax-exempt; crypto mining excluded",https://www.arkleg.state.ar.us/; https://billtrack50.com/billdetail/1826317; https://www.kutakrock.com/,2026-03-01,High
Arkansas,AR,DATA Act (S. 3585),Decentralized Access to Technology Alternatives Act of 2026,Federal regulatory exemption,Introduced (federal),N/A,Sen. Tom Cotton (R-AR),"Creates Consumer-Regulated Electric Utility (CREU) category exempt from FERC/FPA/PURPA/PUHCA for physically islanded power systems",https://www.cotton.senate.gov/; https://legiscan.com/US/bill/SB3585,2026-03-01,High
Texas,TX,HB 2559,Municipal Moratorium Preemption,Preemption of local authority,Signed into law,2025-09-01,TBD,"Tightens procedural requirements for municipal moratoriums on development; requires two public hearings 30 days apart; three-fourths supermajority for final adoption",https://legiscan.com/TX/text/HB2559/id/3107724; https://capitol.texas.gov/,2026-03-01,High
Texas,TX,SB 6,Large Load Interconnection and Utility Planning,Regulatory framework,Signed into law,2025-06-20,TBD,"Establishes standards for >=75MW large loads; cost allocation to data centers; $100K+ interconnection study fees; ERCOT curtailment powers; remote disconnect capability; backup generation disclosure requirements",https://legiscan.com/TX/text/SB6/id/3248460; https://www.bakerbotts.com/,2026-03-01,High
Oklahoma,OK,SB 1488,Data Center Moratorium,Moratorium,In committee (Senate Rules/Appropriations),N/A,Sen. Kendal Sacchieri,"Moratorium on new data center development permits until Nov 2029; Corporation Commission to study impacts on water supply; utility rates; property values",https://www.oklegislature.gov/BillInfo.aspx?Bill=SB1488; https://legiscan.com/OK/bill/SB1488/2026; https://oksenate.gov/press-releases/senator-sacchieri-files-legislation-address-unknown-impacts-data-centers-oklahoma,2026-03-01,High
Oklahoma,OK,HB 2992,Data Center Consumer Ratepayer Protection Act of 2026,Ratepayer protection,Filed Jan 2026,N/A,"Rep. Brad Boles (R-Marlow)","Requires data centers to pay proportional share of infrastructure costs; prevents cost pass-through to residential/industrial/small-business ratepayers",https://www.okhouse.gov/; https://www.oklahoman.com/story/news/politics/2026/02/03/oklahoma-legislative-sessions-data-centers-utility-rates/88491622007/,2026-03-01,High
Oklahoma,OK,HB 4424,Data Center Tax Incentive Sunset,Tax incentive rollback,Filed 2026,N/A,TBD,"Ends tax incentives for data centers not in operation by Jan 1 2027",https://www.oklegislature.gov/; MultiState (Feb 2026),2026-03-01,Medium
New York,NY,A 10141 / S9144,Data Center Construction Moratorium,Moratorium,Introduced Feb 2026 — in Senate Environmental Conservation Committee,N/A,"Sen. Liz Krueger (D); Asm. Anna Kelles (D)","3-year moratorium on permits for data centers >=20MW peak demand; DEC to conduct generic environmental impact statement; PSC to report on rate impacts",https://www.nysenate.gov/legislation/bills/2025/S9144; https://legiscan.com/NY/bill/S09144/2025; https://www.politico.com/news/2026/02/06/new-york-democrats-propose-sweeping-pause-on-data-center-construction-00768090,2026-03-01,High
Virginia,VA,HB 1515,Data Center Site Application Moratorium,Moratorium,Continued to 2027 session (Feb 6 2026),N/A,Del. Irene Shin,"Halt all new data center site applications (rezoning; special use; special exception) until July 2028 or fulfillment of all pending interconnection requests",https://legiscan.com/VA/bill/HB1515/2026; https://lis.virginia.gov/bill-details/20261/HB1515; https://www.datacenterdynamics.com/en/news/virginia-house-of-delegates-may-consider-temporary-data-center-moratorium/,2026-03-01,High
Virginia,VA,HB 961,Data Center Tax Incentive Reduction,Tax incentive rollback,Introduced 2026,N/A,TBD,"Reduce data center tax incentives to replacement equipment and repairs only",https://lis.virginia.gov/; MultiState (Feb 2026),2026-03-01,Medium
Virginia,VA,HB 897,Emission-Free Backup Generator Requirement,Environmental condition,Introduced 2026,N/A,TBD,"Data centers must use emission-free backup generators to maintain tax incentive eligibility",https://lis.virginia.gov/; MultiState (Feb 2026),2026-03-01,Medium
California,CA,SB 57,Ratepayer and Technological Innovation Protection Act,Ratepayer protection / study mandate,Signed into law,2025-10-11,Sen. Steve Padilla (D),"Directs CPUC to study and report on data center energy impacts on ratepayers by Jan 1 2027; no immediate new rates or charges; study-first approach",https://sd18.senate.ca.gov/news/legislation-protect-california-ratepayers-paying-data-centers-energy-costs-signed-law; https://legiscan.com/CA/text/SB57/id/3270247,2026-03-01,High
California,CA,AB 93,Data Center Water Usage Reporting,Environmental / water regulation,Vetoed by Governor Oct 2025,N/A,Asm. Diane Papan (D),"Would have required data centers to report water usage to local water suppliers; passed both chambers but vetoed by Gov. Newsom",https://papan.asmdc.org/press-releases/20251014-governor-vetoes-papan-bill-track-data-center-water-use; https://legiscan.com/CA/text/AB93/id/3209270,2026-03-01,High
