date,state_jurisdiction,program_name,dollar_amount,action_type,federal_stated_rationale,state_local_response,outcome,primary_source_url,verification_level,amount_usd,state_code,targeted
2025-01-20,All States,IIJA / IRA (Blanket Pause),$125 billion (unobligated),frozen,EO 'Unleashing American Energy' directed agencies to pause disbursement of IIJA and IRA funds pending review for alignment with administration energy priorities,lawsuit filed,Federal judge ordered resumption; formula highway funds resumed by mid-2025; discretionary and EV grants remained delayed,https://www.constructiondive.com/news/judge-orders-trump-reinstate-iija-ira-funding/745582/,HIGH,125000000000,,0
2025-01-20,All States,NEVI (EV Charging — IIJA),$5 billion (program total),frozen,EO 'Unleashing American Energy'; pause on all NEVI funding obligations pending policy review; only 16% of funds had been obligated,lawsuit filed,Court injunction restored access for 14 states (Jun 2025); updated DOT guidance issued Aug 2025; full unfreeze ordered Jan 2026,https://electrek.co/2026/01/23/court-says-us-must-free-up-billions-in-illegally-frozen-electric-car-charger-funds/,HIGH,5000000000,,0
2025-01-27,All States,OMB M-25-13 (All Federal Grants),Trillions (all federal financial assistance),frozen,"'Temporary pause of agency grant, loan, and other financial assistance programs' to ensure alignment with EO priorities on DEI, climate, foreign aid",lawsuit filed,Memo rescinded Jan 29 after judicial stay; however White House stated EOs underlying the freeze remained in effect; ongoing court injunctions,https://www.nafsa.org/regulatory-information/omb-memorandum-temporary-pause-agency-grant-loan-and-other-financial,HIGH,,,0
2025-01-28,All States (Medicaid/Head Start providers),HHS — Medicaid / Head Start Portal Freeze,Not specified,frozen,OMB M-25-13 implementation disrupted federal payment portals; Medicaid and Head Start providers locked out of reimbursement systems,lawsuit filed,Portal access restored within days after federal judge intervened; GAO later found Head Start withholding violated Impoundment Control Act,https://thegrio.com/2025/01/29/head-start-and-medicaid-providers-hit-glitches-as-trump-freezes-federal-money/,HIGH,,,0
2025-02-05,"Sanctuary jurisdictions (CA, IL, NY, OR, WA, CO, MA, and others)",Byrne JAG (DOJ),~$1.56 billion (total program),conditioned,"DOJ Sanctuary Jurisdiction Directives memo: jurisdictions must certify compliance with 8 USC §1373(a) — cooperation with ICE — or face funding withholding; 30-day grant review, 60-day NGO review",lawsuit filed,Federal judges blocked withholding from 34+ cities and counties; litigation ongoing,https://www.epi.org/policywatch/doj-memo-on-sanctuary-jurisdiction-directives-cuts-funding-for-state-and-local-jurisdictions-and-ngos/,HIGH,1560000000,"CA,IL,NY,OR,WA,CO,MA",1
2025-02-28,All States (nonprofits nationwide),EPA — Greenhouse Gas Reduction Fund (IRA),$20 billion,frozen,"EPA froze GGRF grants citing 'self-dealing, conflicts of interest, mismanagement, and insufficient oversight' among recipient nonprofits",lawsuit filed,EPA subsequently terminated grants; multiple lawsuits filed; nonprofits report inability to make payroll; litigation ongoing,https://www.politico.com/news/2025/02/28/groups-frozen-out-of-epa-cash-fear-bankruptcy-00206733,HIGH,20000000000,,0
2025-03-01,All States (domestic violence/sexual assault nonprofits),VAWA — Office on Violence Against Women,Not specified,frozen,Funding freeze extended to domestic violence nonprofit grants; OVW temporarily pulled grant opportunities from its website,resisted,Grants eventually restored after legal pressure; ongoing monitoring,https://www.politico.com/news/2025/03/01/funding-freeze-domestic-violence-00206807,HIGH,,,0
2025-03-14,All States (environmental justice recipients),EPA — Environmental Justice Grants (IRA),$1.7 billion (400+ grants),canceled,EPA Administrator Zeldin canceled 400+ grants in 4th round of cuts citing 'unnecessary or wasteful spending' on DEI and environmental justice programs,lawsuit filed,Congress subsequently rescinded all unobligated environmental/climate justice grant funding; legal challenges ongoing,https://www.epa.gov/newsreleases/epa-administrator-lee-zeldin-cancels-400-grants-4th-round-cuts-doge-saving-americans,HIGH,1700000000,,0
2025-04-03,All States,Dept. of Education — Title I / K-12 Funding,$6.9 billion,withheld,"Funding withheld pending state certification of elimination of DEI programs; 10-day compliance window; programs including Title I-C, II-A, III, IV-A, IV-B affected",resisted,Released Jul 2025 with 'guardrails' after bipartisan political pressure; states entered 'triage mode' during freeze,https://www.nea.org/resource-library/us-department-education-withholds-school-funding-fy25,HIGH,6900000000,,0
2025-04-24,All States,BEAD Broadband (NTIA — IIJA),$42.5 billion (program total),delayed,90-day programmatic pause; NTIA delayed guidance to states; administration shifted to technology-neutral stance voiding previously approved state proposals,resisted,States required to resubmit revised proposals; Fiber Broadband Association objected; delays pushed implementation to late 2026+,https://fiberbroadband.org/advocacy/response-to-90-day-delay-of-bead/,HIGH,42500000000,,0
2025-05-29,"500+ sanctuary cities/counties (CA, IL, NY, OR, WA, CO, MA, NJ, NM, CT, and others)",DHS — All Federal Grants (Sanctuary List),Billions (unspecified),threatened,DHS published list of 500+ 'sanctuary jurisdictions'; threatened to withhold DOJ and Transportation funds from jurisdictions not cooperating with ICE enforcement,lawsuit filed,Federal judges issued injunctions blocking withholding from multiple jurisdictions; litigation ongoing in multiple circuits,https://www.visaverge.com/immigration/dhs-publishes-list-of-sanctuary-cities-and-counties-obstructing-immigration-enforcement/,HIGH,,"CA,IL,NY,OR,WA,CO,MA,NJ,NM,CT",1
2025-06-01,All States,BEAD Broadband (NTIA — IIJA),$42.5 billion (program total),delayed,"NTIA issued new rules removing fiber preference, labor requirements, affordability and diversity conditions; all previously approved state proposals voided; 90-day resubmission window",pending,GAO ruled NTIA policy notice constitutes a new federal rule subject to Congressional Review Act; further delays expected,https://tiaonline.org/understanding-the-new-bead-rules-whats-changed-in-ntias-june-2025-policy-notice/,HIGH,42500000000,,0
